code,kind,name,floor,room_type,external_id
LOBBY,common_area,Lobby,1,,
POOL,common_area,Pool,1,,
FITNESS,common_area,Fitness Room,2,,
LAUNDRY,common_area,Guest Laundry,2,,
BOILER-RM,common_area,Boiler Room,0,,
ELEV-A,common_area,Elevator A,,,
ELEV-B,common_area,Elevator B,,,
STAIR-N,common_area,Stairwell North,,,
STAIR-S,common_area,Stairwell South,,,
DOCK,common_area,Loading Dock,0,,
POOL-PUMP-1,equipment,Pool pump 1,,,
BOILER-1,equipment,Boiler 1,,,
BOILER-2,equipment,Boiler 2,,,
ICE-2F,equipment,Ice machine 2F,,,
ICE-4F,equipment,Ice machine 4F,,,
ELEV-MOTOR-A,equipment,Elevator motor A,,,
ELEV-MOTOR-B,equipment,Elevator motor B,,,
RTU-1,equipment,Rooftop HVAC unit 1,,,
